horizon,lags,rmse,mae,forecast,actual
1,11,0.1609058179095703,0.1609058179095703,"['[\'[""[\\\'[np.float64(2.415419820806527)]\\\']"", \\\'[np.float64(2.415419820806527)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,12,0.1305510444947164,0.1305510444947164,"['[\'[""[\\\'[np.float64(2.445774594221381)]\\\']"", \\\'[np.float64(2.445774594221381)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,13,0.0240905923428504,0.0240905923428504,"['[""[\'[np.float64(2.600416231058948)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,14,0.037988869378311,0.037988869378311,"['[""[\'[np.float64(2.6143145080944086)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,15,0.0323795958133787,0.0323795958133787,"['[""[\'[np.float64(2.6087052345294763)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,16,0.0376945773265857,0.0376945773265857,"['[""[\'[np.float64(2.6140202160426833)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,17,0.0048180820777838,0.0048180820777838,"['[""[\'[np.float64(2.5715075566383137)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,18,0.0243463591970374,0.0243463591970374,"['[""[\'[np.float64(2.55197927951906)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,19,0.0259326681737221,0.0259326681737221,"['[""[\'[np.float64(2.5503929705423753)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,20,0.0860724178813909,0.0860724178813909,"['[""[\'[np.float64(2.4902532208347066)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,21,0.0798058851589256,0.0798058851589256,"['[""[\'[np.float64(2.496519753557172)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,22,0.069877888933747,0.069877888933747,"['[""[\'[np.float64(2.5064477497823505)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
1,23,0.1064888327453914,0.1064888327453914,"['[""[\'[np.float64(2.469836805970706)]\']""]']","['[""[\'[np.float64(2.5763256387160975)]\']""]']"
