forecast_horizon,context_window,dropout_rate,rmse,mae,forecast,actual
16,4,0.0,2.28166746695374,2.1669356583959827,"[np.float32(4.973092), np.float32(4.770751), np.float32(4.585455), np.float32(4.6776342), np.float32(5.158419), np.float32(5.1126876), np.float32(5.15613), np.float32(5.2915025), np.float32(5.4384556), np.float32(5.470292), np.float32(5.5417356), np.float32(5.626982), np.float32(5.696274), np.float32(5.7424216), np.float32(5.798763), np.float32(5.8524184)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,4,0.1,2.245268225729727,2.1357595383531818,"[np.float32(4.985671), np.float32(4.780844), np.float32(4.5765176), np.float32(4.6573133), np.float32(5.1551228), np.float32(5.0974116), np.float32(5.1277714), np.float32(5.2597523), np.float32(5.4091525), np.float32(5.430689), np.float32(5.4949875), np.float32(5.5771527), np.float32(5.6429596), np.float32(5.6820273), np.float32(5.7334905), np.float32(5.7833323)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,4,0.2,2.000165708283458,1.9008441626436483,"[np.float32(4.8638964), np.float32(4.6599145), np.float32(4.4576063), np.float32(4.517051), np.float32(4.9543815), np.float32(4.89632), np.float32(4.9170117), np.float32(5.025351), np.float32(5.1480923), np.float32(5.1635914), np.float32(5.214747), np.float32(5.2799835), np.float32(5.3317804), np.float32(5.362404), np.float32(5.4024825), np.float32(5.440936)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,4,0.3,1.8535681116654448,1.759238040388323,"[np.float32(4.824035), np.float32(4.6028457), np.float32(4.3692913), np.float32(4.4093184), np.float32(4.85133), np.float32(4.77006), np.float32(4.7717233), np.float32(4.873516), np.float32(4.9946265), np.float32(4.9953294), np.float32(5.0381813), np.float32(5.100079), np.float32(5.147769), np.float32(5.171026), np.float32(5.2073736), np.float32(5.2433467)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,6,0.0,0.4305894819455427,0.3427589040599001,"[np.float32(4.3956547), np.float32(4.0750513), np.float32(3.8023822), np.float32(3.6596556), np.float32(3.504428), np.float32(3.4479709), np.float32(3.5206704), np.float32(3.3976285), np.float32(3.311381), np.float32(3.2543716), np.float32(3.2086625), np.float32(3.1763647), np.float32(3.144622), np.float32(3.0969808), np.float32(3.0610807), np.float32(3.0319657)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,6,0.1,1.0345154463441524,0.9841622918255102,"[np.float32(4.8565288), np.float32(4.5170617), np.float32(4.2448826), np.float32(4.1380577), np.float32(4.0258594), np.float32(4.0396705), np.float32(4.216936), np.float32(4.097799), np.float32(4.031608), np.float32(4.0058985), np.float32(3.9933364), np.float32(3.9948616), np.float32(3.9905512), np.float32(3.9548156), np.float32(3.9358592), np.float32(3.9249134)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,6,0.2,0.4236160198096498,0.3342059355578555,"[np.float32(4.4354935), np.float32(4.096294), np.float32(3.8061213), np.float32(3.656306), np.float32(3.4914985), np.float32(3.433393), np.float32(3.5158844), np.float32(3.3793266), np.float32(3.2838252), np.float32(3.221439), np.float32(3.1714122), np.float32(3.1364775), np.float32(3.1015916), np.float32(3.0471919), np.float32(3.0065339), np.float32(2.973757)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,6,0.3,1.2368329237503783,1.188115394056536,"[np.float32(4.9925294), np.float32(4.6498847), np.float32(4.372471), np.float32(4.27308), np.float32(4.168317), np.float32(4.2039895), np.float32(4.426713), np.float32(4.3067737), np.float32(4.244485), np.float32(4.2286777), np.float32(4.228315), np.float32(4.2447557), np.float32(4.253643), np.float32(4.2218213), np.float32(4.20955), np.float32(4.206884)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,12,0.0,4.185268190143922,4.118716096819139,"[np.float32(7.4284472), np.float32(7.149583), np.float32(6.95918), np.float32(6.8217955), np.float32(6.7505455), np.float32(6.7455173), np.float32(6.802371), np.float32(6.8714223), np.float32(6.973452), np.float32(7.1470494), np.float32(7.320691), np.float32(7.5492635), np.float32(7.845938), np.float32(7.861094), np.float32(7.910828), np.float32(7.9843225)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,12,0.1,4.415621520723096,4.343416160286165,"[np.float32(7.546086), np.float32(7.285673), np.float32(7.1054535), np.float32(6.9776564), np.float32(6.9179583), np.float32(6.9274173), np.float32(7.001098), np.float32(7.0910516), np.float32(7.2151484), np.float32(7.406722), np.float32(7.5970726), np.float32(7.835095), np.float32(8.130087), np.float32(8.158835), np.float32(8.219301), np.float32(8.302046)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,12,0.2,4.641570251802543,4.563623166025378,"[np.float32(7.803368), np.float32(7.5164657), np.float32(7.304557), np.float32(7.1478662), np.float32(7.0690174), np.float32(7.0710816), np.float32(7.148898), np.float32(7.24723), np.float32(7.3864408), np.float32(7.604875), np.float32(7.8235097), np.float32(8.098303), np.float32(8.439967), np.float32(8.45813), np.float32(8.516102), np.float32(8.604202)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
